	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)
VARIABLES	earn78	earn78	earn78	earn78	earn78	earn78	earn78	earn78	earn78	earn78	earn78
											
treat	1,535**	1,535**	1,535**	1,535**	1,535**	1,535**	1,535**	1,535**	1,535**	1,535**	1,535**
	(638.2)	(638.2)	(638.2)	(638.2)	(638.2)	(638.2)	(638.2)	(638.2)	(638.2)	(638.2)	(638.2)
black	-2,592***	-2,592***	-2,592***	-2,592***	-2,592***	-2,592***	-2,592***	-2,592***	-2,592***	-2,592***	-2,592***
	(795.0)	(795.0)	(795.0)	(795.0)	(795.0)	(795.0)	(795.0)	(795.0)	(795.0)	(795.0)	(795.0)
age	39.34	39.34	39.34	39.34	39.34	39.34	39.34	39.34	39.34	39.34	39.34
	(40.47)	(40.47)	(40.47)	(40.47)	(40.47)	(40.47)	(40.47)	(40.47)	(40.47)	(40.47)	(40.47)
educ	-740.5	-740.5	-740.5	-740.5	-740.5	-740.5	-740.5	-740.5	-740.5	-740.5	-740.5
	(944.7)	(944.7)	(944.7)	(944.7)	(944.7)	(944.7)	(944.7)	(944.7)	(944.7)	(944.7)	(944.7)
educ_sq	60.08	60.08	60.08	60.08	60.08	60.08	60.08	60.08	60.08	60.08	60.08
	(53.77)	(53.77)	(53.77)	(53.77)	(53.77)	(53.77)	(53.77)	(53.77)	(53.77)	(53.77)	(53.77)
earn74	-0.0299	-0.0299	-0.0299	-0.0299	-0.0299	-0.0299	-0.0299	-0.0299	-0.0299	-0.0299	-0.0299
	(0.104)	(0.104)	(0.104)	(0.104)	(0.104)	(0.104)	(0.104)	(0.104)	(0.104)	(0.104)	(0.104)
black_earn74	0.175	0.175	0.175	0.175	0.175	0.175	0.175	0.175	0.175	0.175	0.175
	(0.132)	(0.132)	(0.132)	(0.132)	(0.132)	(0.132)	(0.132)	(0.132)	(0.132)	(0.132)	(0.132)
u74	1,316	1,316	1,316	1,316	1,316	1,316	1,316	1,316	1,316	1,316	1,316
	(1,506)	(1,506)	(1,506)	(1,506)	(1,506)	(1,506)	(1,506)	(1,506)	(1,506)	(1,506)	(1,506)
u75	-1,168	-1,168	-1,168	-1,168	-1,168	-1,168	-1,168	-1,168	-1,168	-1,168	-1,168
	(1,275)	(1,275)	(1,275)	(1,275)	(1,275)	(1,275)	(1,275)	(1,275)	(1,275)	(1,275)	(1,275)
Constant	6,486	6,486	6,486	6,486	6,486	6,486	6,486	6,486	6,486	6,486	6,486
	(4,514)	(4,514)	(4,514)	(4,514)	(4,514)	(4,514)	(4,514)	(4,514)	(4,514)	(4,514)	(4,514)
											
Observations	445	445	445	445	445	445	445	445	445	445	445
R-squared	0.063	0.063	0.063	0.063	0.063	0.063	0.063	0.063	0.063	0.063	0.063
Robust standard errors in parentheses											
*** p<0.01, ** p<0.05, * p<0.1											
