"statistic","specification","estimate_exp","std.error_exp","CI_exp","estimate_PSID","std.error_PSID","CI_PSID"
"Mean Diff",NA,1794.34,670.82,"(479.5328, 3109.1472)",-15204.78,655.91,"(-16490.3636, -13919.1964)"
"OLS","a",1582.17,658.74,"(291.0396, 2873.3004)",6302.4,1209.32,"(3932.1328, 8672.6672)"
"OLS","b",1506.9,657.12,"(218.9448, 2794.8552)",4699.26,1027.12,"(2686.1048, 6712.4152)"
"OLS","c",1501.37,662.91,"(202.0664, 2800.6736)",4284.34,1031.34,"(2262.9136, 6305.7664)"
"Reg. Impute","a",1462.27,629.75,"(227.97, 2696.57)",NA,NA,NA
"Reg. Impute","b",1454.13,630.67,"(218.02, 2690.24)",-10398.22,3549.31,"(-17354.86, -3441.58)"
"Reg. Impute","c",1427.53,641.7,"(169.8, 2685.26)",-11920.18,3497.68,"(-18775.64, -5064.72)"
"IPW","a",1537.4,629.76,"(303.07, 2771.72)",NA,NA,NA
"IPW","b",1469.62,630.67,"(233.51, 2705.72)",-7246.13,3549.83,"(-14203.79, -288.46)"
"IPW","c",1468.1,641.7,"(210.37, 2725.84)",-7486.53,3498.73,"(-14344.05, -629.01)"
"D. Robust","a",1473.17,629.76,"(238.87, 2707.48)",NA,NA,NA
"D. Robust","b",1451.05,630.67,"(214.95, 2687.16)",-11419.47,3549.83,"(-18376.22, -4462.72)"
"D. Robust","c",1423.88,641.7,"(166.15, 2681.61)",-12504.5,3498.73,"(-19359.99, -5649)"
